anio,mes,total_incendios,brightness_promedio,frp_promedio
2023,1,14107,331.42,8.14
2023,2,14972,332.53,7.45
2023,3,30226,333.93,9.32
2023,4,68135,335.74,10.66
2023,5,94855,334.5,8.54
2023,6,64142,334.04,8.21
2023,7,10996,334.39,9.14
2023,8,7405,330.12,7.34
2023,9,7520,328.88,6.58
2023,10,5179,326.29,6.99
2023,11,4610,325.97,6.13
2023,12,5510,326.39,5.27
2024,1,8564,329.3,7.1
2024,2,13628,331.07,7.54
2024,3,35056,332.12,10.07
2024,4,76772,333.89,9.2
2024,5,125673,333.97,8.78
2024,6,34556,332.81,8.01
2024,7,4514,332.9,7.63
2024,8,5481,326.92,6.92
2024,9,3886,327.63,8.62
2024,10,4762,325.28,6.57
2024,11,7397,327.35,5.7
2024,12,9845,327.14,5.72
2025,1,10199,330.35,9.74
2025,2,12944,331.43,6.7
2025,3,34807,332.96,9.31
2025,4,63809,333.62,10.71
2025,5,94140,334.34,9.71
2025,6,19586,335.28,11.67
2025,7,7954,330.8,8.17
2025,8,6350,328.72,7.85
2025,9,3914,325.94,6.32
2025,10,5561,324.84,6.6
2025,11,8170,328.05,6.43
2025,12,9487,328.77,7.69
