latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
18.91713,-102.14481,340.18,3.4,n,D,2023-01-26,2023,1,20,1,Alto
17.41177,-99.83514,303.27,1.01,n,N,2023-05-08,2023,5,8,0,Bajo
16.20275,-90.69479,335.86,4.67,n,N,2025-05-09,2025,5,8,0,Bajo
14.94953,-92.2989,330.97,1.83,n,D,2025-04-21,2025,4,20,1,Alto
27.88118,-108.91168,332.38,6.04,n,D,2023-05-19,2023,5,19,2,Medio
27.3675,-113.23211,338.81,1.65,n,D,2023-08-12,2023,8,20,2,Medio
18.16615,-90.61301,341.95,3.82,l,D,2023-04-14,2023,4,19,2,Medio
18.05653,-101.77948,348.25,9.48,n,D,2024-05-05,2024,5,19,1,Alto
18.38397,-96.25719,340.55,12.85,n,D,2023-12-28,2023,12,20,1,Alto
17.67182,-95.43436,337.57,28.04,n,D,2025-06-04,2025,6,19,1,Alto
18.81343,-96.40378,309.36,1.04,n,N,2024-04-02,2024,4,7,0,Bajo
19.27884,-88.56136,338.62,5.8,l,D,2024-05-12,2024,5,19,2,Medio
26.45226,-107.74954,344.54,18.93,l,D,2025-06-04,2025,6,19,2,Medio
32.47447,-116.42908,336.27,30.01,n,D,2023-11-05,2023,11,21,2,Medio
18.62287,-92.50816,317.54,1.59,n,N,2025-03-23,2025,3,8,0,Bajo
17.28994,-99.75185,318.09,1.11,n,N,2023-05-21,2023,5,8,0,Bajo
18.08993,-102.34312,351.46,7.72,n,D,2023-05-15,2023,5,19,1,Alto
32.60063,-115.51479,295.51,0.29,n,N,2024-12-16,2024,12,9,0,Bajo
20.98222,-104.09469,301.77,1.87,n,N,2023-05-10,2023,5,8,0,Bajo
20.68628,-103.77579,343.38,9.59,n,D,2023-01-03,2023,1,20,1,Alto
23.53899,-100.823,339.17,33.55,l,D,2025-04-05,2025,4,20,2,Medio
15.19269,-92.64171,332.32,1.44,l,D,2024-03-24,2024,3,19,2,Medio
22.02124,-104.02975,342.94,3.64,n,D,2023-06-14,2023,6,20,2,Medio
19.18536,-99.33736,367.0,22.3,h,D,2025-04-10,2025,4,20,1,Alto
20.58079,-101.17433,334.62,6.26,n,D,2024-07-21,2024,7,19,1,Alto
15.82835,-92.05328,345.41,5.54,n,D,2025-11-07,2025,11,19,1,Alto
28.7417,-108.27158,304.05,2.81,n,N,2024-04-26,2024,4,8,0,Bajo
28.8499,-108.45102,314.72,1.82,n,N,2024-06-09,2024,6,9,0,Bajo
19.37281,-89.35789,338.53,8.34,l,D,2024-05-16,2024,5,19,2,Medio
21.05052,-105.22194,331.64,2.3,n,D,2023-06-10,2023,6,19,2,Medio
22.53962,-104.65586,337.53,6.82,l,D,2024-05-26,2024,5,19,2,Medio
20.2656,-100.99196,329.77,1.89,l,D,2025-11-18,2025,11,19,2,Medio
19.89869,-101.81709,348.68,9.22,n,D,2024-05-14,2024,5,20,1,Alto
16.20881,-90.49423,306.98,1.02,n,N,2024-03-27,2024,3,7,0,Bajo
18.83513,-102.12472,340.64,3.56,l,D,2024-04-25,2024,4,19,2,Medio
21.40377,-103.71368,297.74,0.79,n,N,2024-06-05,2024,6,8,0,Bajo
17.13858,-99.85222,301.27,0.99,n,N,2023-05-07,2023,5,7,0,Bajo
19.71953,-97.84002,330.72,6.92,n,N,2024-02-23,2024,2,7,0,Bajo
17.86502,-90.25349,308.12,1.95,n,N,2025-05-13,2025,5,7,0,Bajo
17.26312,-99.70441,301.22,0.97,n,N,2023-05-17,2023,5,7,0,Bajo
18.62819,-97.60229,343.8,4.69,l,D,2024-03-26,2024,3,18,2,Medio
