lat_zona,lon_zona,total_incendios,brightness_promedio,frp_promedio,frp_maximo
17.9,-93.2,11289,329.08,11.02,346.84
17.8,-93.1,8720,329.54,18.36,250.39
18.0,-94.5,6288,326.17,5.44,74.99
17.9,-92.5,5559,329.21,7.42,171.33
16.2,-95.2,4777,326.22,5.84,44.24
20.6,-101.2,4753,322.5,4.13,32.68
20.0,-99.3,3986,317.84,3.83,41.26
18.4,-93.2,3763,328.69,6.66,62.45
17.9,-93.5,3732,329.64,6.05,76.17
18.6,-92.2,3678,334.18,6.98,83.31
17.9,-102.2,3399,319.18,3.72,42.75
22.3,-97.8,3195,324.19,4.63,29.41
25.7,-100.3,3101,311.67,2.09,26.44
30.5,-109.6,2864,328.6,9.49,143.59
18.1,-94.0,2517,332.56,8.33,72.63
25.6,-99.9,2429,318.1,3.03,41.11
20.5,-100.9,2318,320.42,3.61,47.97
18.2,-94.0,2300,331.94,6.91,60.22
18.1,-93.3,2266,327.06,3.87,45.77
17.9,-93.6,2112,325.8,3.64,50.74
17.9,-93.4,2083,329.06,5.36,41.81
18.5,-96.1,2001,329.32,8.37,78.15
18.6,-92.5,1902,326.75,4.27,33.9
19.5,-89.4,1871,331.13,12.68,309.85
25.6,-100.9,1666,313.83,2.22,31.06
18.1,-94.4,1494,316.5,3.24,78.82
18.0,-93.1,1489,322.92,3.04,36.03
18.2,-93.9,1460,325.26,4.05,44.8
17.8,-92.9,1446,328.84,8.29,83.98
20.1,-99.3,1373,316.64,4.01,34.81
